Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BTG,B2Gold Corp Common shares (Canada),$4.83,-0.24,-4.734%,5074360220.00,Canada,,11432082,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$2.76,-0.04,-1.429%,50240755.00,United States,,603007,Miscellaneous,Industrial Machinery/Components
BWL/A,Bowl America Inc.,$10.89,0.39,3.714%,,United States,,1669,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.21,-0.32,-12.648%,34064900.00,Israel,,1514438,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$110.63,2.98,2.768%,1045054236.00,United States,,21702,Consumer Durables,Building Products
CDOR,Condor Hospitality Trust Inc. Common Stock,$5.02,0.0998,2.028%,60315877.00,United States,,18428,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$1.69,-0.28,-14.213%,42250000.00,United States,,5375520,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$36.37,-0.0399,-0.11%,954363457.00,United States,,6684,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.11,-0.14,-1.057%,93521168.00,United States,1999,22640,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.63,-0.03,-0.281%,114573382.00,,2020,2081,Finance,Business Services
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$10.35,-0.01,-0.097%,123516900.00,,2021,124142,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.35,0.03,0.904%,175221512.00,United States,,582482,,
CIX,CompX International Inc. Common Stock,$14.45,0.05,0.347%,179919219.00,United States,1998,1410,Capital Goods,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$11.25,-0.4973,-4.233%,21853069.00,United States,,2904,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$12.67,-0.13,-1.016%,964453361.00,United States,1987,1288781,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$15.56,-0.84,-5.122%,188568886.00,Canada,,121707,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$12.10,-0.26,-2.104%,96459663.00,United States,,37609,Consumer Non-Durables,Plastic Products
COHN,Cohen & Company Inc.,$17.76,-0.41,-2.256%,23697470.00,United States,,4715,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.01,-0.01,-0.98%,46035353.00,China,,3388833,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$40.82,-0.43,-1.042%,19757681011.00,United States,2007,137725,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$12.43,-0.11,-0.877%,500137706.00,United States,,683346,,
CRHM,CRH Medical Corporation Common Shares of Beneficial Interest,$3.91,0.00,0.00%,279225158.00,,2015,1086425,Health Care,Medical/Nursing Services
CTEK,CynergisTek Inc. Common Stock,$2.40,-0.35,-12.727%,25564918.00,United States,2017,119950,Miscellaneous,Business Services
CVM,Cel-Sci Corporation Common Stock,$18.06,-0.94,-4.947%,731958761.00,United States,,824738,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$27.0273,-0.7227,-2.604%,26111939.00,United States,,5960,Technology,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$4.73,-0.25,-5.02%,56529512.00,United States,,190149,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.39,0.01,0.42%,247382691.00,United States,1998,3230803,,
DIT,AMCON Distributing Company Common Stock,$111.31,-6.33,-5.381%,61372883.00,United States,,869,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$26.77,-0.63,-2.299%,186711648.00,United States,,43537,Consumer Non-Durables,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$8.65,-0.04,-0.46%,179494403.00,United States,1988,72212,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.10,-0.09,-7.563%,746624800.00,Canada,,59222461,Basic Industries,Precious Metals
DPW,Ault Global Holdings Inc. Common Stock,$4.52,-0.89,-16.451%,125446100.00,United States,,20208863,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$3.71,-0.34,-8.395%,102656164.00,United States,,4275740,Consumer Durables,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.45,-0.16,-9.938%,30268560.00,China,,671926,Finance,Finance: Consumer Services
DXR,Daxor Corporation Common Stock,$11.67,-0.63,-5.122%,46839996.00,United States,,13101,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.30,0.04,0.484%,502865576.00,United States,2003,298139,,
ECF,Ellsworth Growth and Income Fund Ltd.,$15.02,-0.08,-0.53%,198339956.00,United States,1986,109173,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.32,0.1089,0.415%,,United States,,922,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.08,-0.05,-0.381%,941147647.00,United States,2002,129658,,
ELA,Envela Corporation Common Stock,$5.93,-0.21,-3.42%,159661579.00,United States,,106984,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$29.30,-2.05,-6.539%,370706354.00,Israel,,998,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.54,-0.32,-2.947%,91013374.00,United States,2011,106664,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$4.17,0.30,7.752%,281473340.00,United States,,3439020,Technology,Semiconductors
EMX,EMX Royalty Corporation Common Shares (Canada),$3.45,-0.08,-2.266%,290964237.00,Canada,,186626,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$2.10,-0.40,-16.00%,21565839.00,United States,,1356294,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.075,-0.015,-0.124%,218778400.00,United States,2002,44257,,
EPM,Evolution Petroleum Corporation Inc. Common Stock,$3.57,0.04,1.133%,119561264.00,United States,,165650,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$8.92,-0.31,-3.359%,2157481952.00,Canada,,1317138,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.43,0.005,0.04%,349681854.00,United States,2003,87887,,
ERH,Wells Fargo Utilities and High Income Fund,$12.75,0.0607,0.478%,118257079.00,,2004,21567,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$19.1748,-0.0752,-0.391%,51822447.00,United States,,1138,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$29.64,-0.11,-0.37%,159585880.00,United States,,14812,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$40.29,0.04,0.099%,493608463.00,United States,,38804,Consumer Services,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.37,0.03,0.265%,284185634.00,United States,2002,63179,,
